"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-android_X","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11_12","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_13_14","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_15","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chromium_137_win11","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_137_win11","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_8_win7","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-edge_133_win11_23h2","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_ios_184","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_154_osx_1231","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_osx_154","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","No connection","",""
"clientsimulation-java_80442","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_1703","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_336","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009r from 2025-05-16)","",""
"rating_doc","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","100","",""
"protocol_support_score_weighted","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","30","",""
"key_exchange_score","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","90","",""
"key_exchange_score_weighted","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","27","",""
"cipher_strength_score","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","90","",""
"cipher_strength_score_weighted","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","36","",""
"final_score","sylvasan.beta.gouv.fr/91.208.207.223","443","INFO","93","",""
"overall_grade","sylvasan.beta.gouv.fr/91.208.207.223","443","OK","A+","",""
"service","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","HTTP","",""
"pre_128cipher","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","",""
"SSLv3","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","",""
"TLS1","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"TLS1_1","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"TLS1_2","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"TLS1_3","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","offered with final","",""
"ALPN","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","http/1.1","",""
"cipherlist_NULL","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"cipher_order-tls1_2","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","NOT a server cipher order configured","",""
"FS","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"FS_ciphers","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","sylvasan.beta.gouv.fr/91.208.207.221","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","yes","",""
"sessionresumption_ticket","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not supported","",""
"sessionresumption_ID","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not supported","",""
"TLS_timestamp","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","random","",""
"certificate_compression","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","none","",""
"clientAuth","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","none","",""
"cert_numbers","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","1","",""
"cert_signatureAlgorithm","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","SHA256 with RSA","",""
"cert_keySize","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","05EB03129F470EDB9BCCC7CD97826E58231E","",""
"cert_serialNumberLen","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","18","",""
"cert_fingerprintSHA1","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","1A3F605E32E826A0D8EFA4288FE439551F2E16CA","",""
"cert_fingerprintSHA256","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","1C25B1EDE01ABD49ED9A29C110649BB961F750CEC5109C98D9CEA78F8D910DF1","",""
"cert","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBDCCA+ygAwIBAgISBesDEp9HDtubzMfNl4JuWCMeMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjIwHhcNMjYwNzE3MDg0NTM2WhcNMjYxMDE1MDg0NTM1WjAgMR4wHAYDVQQDExVzeWx2YXNhbi5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCiwS6P2ZnvgKoVATXpK/awcPcOnRKoJ2v82On2utbScfAiKny666NBX5DGO+m3NShlnzRkR2jTGSahZfhFjIMs5DX3YxwlYPgQRFXLr7U8MepoRcAt40SGhKMkZM3uXtp4A6f+LWuzT58pGPdiqxsmgzvhA2ioHdmOl+5Q3u0+IIG8AA2kTyNR4ZR6ALUOJa/Tl5UgjzYgpsIIg1jEdqDTXwEmedIwQx2amQjL6m6/GYnmORjbFQHPgNwxh92NhOFM1CPtrnE9ZMlWIv3k8yPwpq0YskpzyGlJWFh2c+G0MBXQWdOxgtkr2A4dJY2A+Tok4yxpnbeZZBhenMVeUFrtAgMBAAGjggIjMIICHzAOBgNVHQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUUzE64ZLPWGssIBsw3a99uG2ElokwHwYDVR0jBBgwFoAUQBUtJnntMiCe35pyHdYyH4EMgQwwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8veXIyLmkubGVuY3Iub3JnLzAgBgNVHREEGTAXghVzeWx2YXNhbi5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3lyMi5jLmxlbmNyLm9yZy8zMS5jcmwwggEMBgorBgEEAdZ5AgQCBIH9BIH6APgAdQDCMX5XRRmjRe5/ON6ykEHrx8IhWiK/f9W1rXaa2Q5SzQAAAZ9vdjfMAAAEAwBGMEQCIHyZKDvOVCHCZagKsBIPGMejzJY+tYW1gYvAk1nVTx2xAiAjw2rf3rqqtgAGwt7Av4JTgnlKaVyFCqp8/t/KUtWiawB/AEavhj07PuWfpXfeqCRdNrDZ7SKiI/Rhd0EilFLulVBfAAABn292OCwACAAABQANVPchBAMASDBGAiEA5Br2V+O00K8TIHX+Z3A8je7Qy9e7vIsJMzdzMMKemvMCIQCZyd8CizM7DcLZoqyaO19IxTisgYcB8A771D+6Rl3bpTANBgkqhkiG9w0BAQsFAAOCAQEAte41D+4QaoODMTthaLuuZssesrpB1ZkForFPuxrL2d2kpA7WUBlV+IvieBPgp5lXskCqBpPQs4Vi8Xkk0Nhzq4kdIx7RI6d+w2vlbZK3BFxE877PpSjeihBmHtQjNbjHAji9L1rRCE3saVQsh67FUoKQfNF2540g+2zmMhfV/qmmnINts7P0BKlu44N/HPkCPHMZVk9jHJQYfiL5vmHgT6vOUO4MavKGsAT2QC+KtVe4vCkg2PNMhZ00vbJXJIOcTseknK3fcPwt8bYXmGBWSTR0qFdaZGNrGxeAJdoBeUNOmbkX3Ve368lLlD1Dc+ptZBip+R68Rs7ktUW0DvdqfQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","sylvasan.beta.gouv.fr","",""
"cert_commonName_wo_SNI","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","sylvasan.beta.gouv.fr","",""
"cert_trust","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","passed.","",""
"cert_certificatePolicies_EV","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","no","",""
"cert_expirationStatus","sylvasan.beta.gouv.fr/91.208.207.221","443","MEDIUM","expires < 30 days (25)","",""
"cert_notBefore","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","2026-07-17 08:45","",""
"cert_notAfter","sylvasan.beta.gouv.fr/91.208.207.221","443","MEDIUM","2026-10-15 08:45","",""
"cert_extlifeSpan","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not present","",""
"cert_crlDistributionPoints","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","http://yr2.c.lencr.org/31.crl","",""
"cert_ocspURL","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","--","",""
"OCSP_stapling","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"cert_mustStapleExtension","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","--","",""
"DNS_CAArecord","sylvasan.beta.gouv.fr/91.208.207.221","443","LOW","--","",""
"certificate_transparency","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","yes (certificate extension)","",""
"certs_countServer","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","3","",""
"certs_list_ordering_problem","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","no","",""
"cert_caIssuers","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","YR2 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE2jCCAsKgAwIBAgIQTr0klH4k05SALYSlL9WzGTANBgkqhkiG9w0BAQsFADAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZUjAeFw0yNTA5MDMwMDAwMDBaFw0yODA5MDIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDZ0LxwBppqh84luqMerV/eeL/fXQ7mLQQv1LnpWKZbyvGpx6wh6AfnslAnF6ewTkcHA+gSOoBvm3Dfm06AuGiF+KRut4fAcowqnAQQCW98+QPP/eOv/wug7Iyk4NkOxf2I6g2f55T6nJoOTLFcukeRq80JGQEYan+dPFr9OGUgQK2hGKgNkW87pappsOAuUJcroYhRt5uUis4qaZireiseu32gzDJNBAiKtsvd6HX4v25bpkRNcS/B/Gtc9kVbUpD+2PLPxdei3Tim55k4tfAEXwD2qyiPTxrTNq6lN+AMr5g2c1dNqkOTwjxeV6L5lpP1rGiYvLnRaPlOqyZRPW+5AgMBAAGjge4wgeswDgYDVR0PAQH/BAQDAgGGMBMGA1UdJQQMMAoGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFEAVLSZ57TIgnt+ach3WMh+BDIEMMB8GA1UdIwQYMBaAFN7nW2DQIm1AKH0/DQH+pLVStFGUMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3lyLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veXIuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQB0ZUQWZ9/Yn9COEpo+JfecMnB0h0vwDm/M66IqXqw3LoaLmx9lZvRTeDIS67PUeI3yCA2W6PKRD0/FE/G57lOmS+Xy5AaaL00ICGOqjNcCaMWW8o8nevHOd4i4lqgtznE/28QwlcdJyF8yBiWHpnyjhEpmNWJURgOCOg2xpwRMBCsjMScqYPtOhBeuYQvSwAEeTML2Ukh6uGuX4E14q65Ja8cdjF5bAldnP1eE4FBaAwsZG2fOqqrKV03Y85Nw2btedP1AtliQuJZs/Jo/gXxXdc7LrH3McgnpnbTiAncX7yEShP6kzQejllqMCIt52HOjxDGWafS7Xw+DKwqmH+Eqy8dcbOuag/1AYlQoKNVK3F5qHh6tEDiMqQcLIibGKteE6iHo4A/bIScbzrhXUYuism42ZYzmc48FMVIH3qy4L84ETdAH2gtxw0PAhvRVXp8HP7wfngpzsN/8xOTpeRSbM4+Qbc56G6+Bifmv6sk1ieQbNA3wJdl4DDUuQSV8hBgx6zoI1ZSGORprDFux7c6rhc77QZMSRrEgomBeklervEve86ylWmZ3WWHV6RLMi8xNvjd71r4EPIGgY7BZU/VPBkq+uA7Gb6mbJnFgV43uh3xyLRFgxIAphIukwTGSMZZR+AI+Qnp0BYTWovHXozOf3H8r6hozEoT02JHn0AeTfA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","238B85A0099C65B970477D5724F1A1D475CE5058CFFE4EFA8733899BDB863C47","",""
"intermediate_cert_notBefore <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","2025-09-03 00:00","",""
"intermediate_cert_notAfter <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","2028-09-02 23:59","",""
"intermediate_cert_expiration <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","YR2 <-- Root YR","",""
"intermediate_cert <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF9DCCA9ygAwIBAgIRAPJLbRf52a18scn+p4eCaZ8wDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjYwNTEzMDAwMDAwWhcNMzIwOTAyMjM1OTU5WjAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZUjCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBANvGJnN78CTJdWL3+eGfsLN5TrNBJs+VH9hRXqRbwxu9sGNiB0BD1fcOxbSUQCJIM1xE13Db+5Cw1w0s0EBYsvuIP/6joF0w8cuImbgR1OGgYbSQ4OpzI+DG8SGuTlcE873OCS+kh3srlo6vl43M5OJg4Aeo1sfHp6kTJDoIiFBNJAY+OKfX/FUvYKuhjT+no49lmqmupSBI5PkBQiqrEGtWU5uxU/cQWHGu8jSjFBznZqvbNPLMXMLFxCb3WTfrJBXXjqvWG+v4bjzxjjeAtOlU7qarRDvNOyAuQYLln904M+faKx8hnLCpJ15ZqaEgcNlY+9MMWcC5yvL2A2j3l9+2buggZX+dOE91zYmIdawTvSZuVvlbRrAlLxIB6pwMBjneXCjYQ8+3BCCjssbSNpZU3hTcBDdhfAlEDlYr6pEatnMdmDT5BqnKC92bd0EhM1fbLHioLccLCuievT8ZkPhZrq7Mii7gNXAcUEAR8+lzYal+9zTg7C5DALyVOeG/CqfRAMn1KSHCR0NSA6P8tn/mGRlnCct5rtVCLnVySVpU6H1qGg3DgTOuskf8eahTMiYbI5ezPJmO5ertalskQ1utp74+eDy92PI4ftHKTbq9IWhH4YZKh3WnJEIt+oQvlYZbY8tpEroKrFB6PFGzrJIDRyts4HqvuH52RFj2zv/BAgMBAAGjgeswgegwDgYDVR0PAQH/BAQDAgEGMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA8GA1UdEwEB/wQFMAMBAf8wHQYDVR0OBBYEFN7nW2DQIm1AKH0/DQH+pLVStFGUMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQA8spSI95KKfn2W6GMmDpHBJSPaLbsS3W93cijJCRCYAc1fsJgL1FIL7C0C9ecPOdcwB2fi0Dk2p94j9iTJCxmt5CFSKLRWwnXT2MMSXexVxqoVB79BdWPxVXETkVme/qYSAuKVHh5Ps+5BixgmwS1JkjSAc+MfrUbNssVEEnH0aEiAh+rotXAVJSP/Ye7LJPEwD9DWG72vVWbhAcuOf5OLjz57Ctk7MgQHynZ7+PlHJtajroCaIbtCr6tcZZaAwUQm+jQyeWdV+2hv9deOYFmKeQyjjcSrN5Nadrw+L9DZJLbA1HqeNvLhBgqpP0fvJq2N6EtD574N6eMI7uMsJTnji2UDz9el5XLSv9fqJMuDQtYVb2oTNoKpoUqhxPVC0aq4eG5MESaIdn8b5ZGSSeAJLMHXljEdlNza+ncfkviXk1POLnnFdvx8/gk6M374WbLWFXw8N141B/Rl/tINGfl1TxOIiqtiMYkL02RSGb1kq34BL9NPP27zRGMuHGnzS3hFIrRTfKxrzUZ9RzQWzEG3K6fJ3r2nqSltkeytis9DIBoFY9VmVyjLM71DMi+y1+TRSJVClEMwvA4yL++7q9XZx5r5wBRWB4kQTKH5qyoZnDw7iiuh1lIDyDFx8r7i9vIJU5HS3moZLkYWAOilMaV9N56A9Bgb6dNcHkvg3NoaYA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","072639D0B140D5BFFAE16AD9C3F6CC6086040621F51EE61A6D46A8915C07CF76","",""
"intermediate_cert_notBefore <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","2026-05-13 00:00","",""
"intermediate_cert_notAfter <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","2032-09-02 23:59","",""
"intermediate_cert_expiration <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","Root YR <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","1789880169","",""
"HSTS_time","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","includes subdomains","",""
"HSTS_preload","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","domain is NOT marked for preloading","",""
"HPKP","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","Apache","",""
"banner_application","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","No application banner found","",""
"cookie_count","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","0 at '/'","",""
"X-Frame-Options","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","nosniff","",""
"Content-Security-Policy","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","default-src 'self' *.gouv.fr *.services.clever-cloud.com;         font-src 'self' https://data.geopf.fr;         script-src 'self' *.gouv.fr https://cdn.jsdelivr.net/ 'unsafe-eval';         style-src 'self' https://cdn.jsdelivr.net/;         img-src 'self' *.services.clever-cloud.com data: *.nasa.gov https://mirrors.creativecommons.org;         connect-src 'self' *.gouv.fr https://api.iconify.design https://api.unisvg.com https://api.simplesvg.com;","",""
"banner_reverseproxy","sylvasan.beta.gouv.fr/91.208.207.221","443","INFO","--","","CWE-200"
"heartbleed","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","supported","","CWE-310"
"secure_client_renego","sylvasan.beta.gouv.fr/91.208.207.221","443","OK","not vulnerable, mitigated","CVE-2011-1473","CWE-310"
